"","run","iter","depth","condition","cfit"
"284",2,2,2,"flip",-4121.46700942165
"285",2,2,1,"construct",-3622.99977821922
"286",2,2,1,"combine",-8024.20691328471
"287",2,2,1,"decon",-4349.48063384948
"288",2,2,1,"flip",-3991.52877001361
"289",2,3,2,"construct",-3700.81607436902
"290",2,3,2,"combine",-7996.64222573097
"291",2,3,2,"decon",-4491.01952463052
"292",2,3,2,"flip",-3919.78766977339
"293",2,3,1,"construct",-3749.63907217721
"294",2,3,1,"combine",-8118.08839796651
"295",2,3,1,"decon",-4346.4002936978
"296",2,3,1,"flip",-4026.05842991734
"297",2,4,2,"construct",-3744.75374977638
"298",2,4,2,"combine",-7869.82895715749
"299",2,4,2,"decon",-4227.36520754717
"300",2,4,2,"flip",-4019.66757452154
"301",2,4,1,"construct",-3630.30577846688
"302",2,4,1,"combine",-8083.05483958517
"303",2,4,1,"decon",-4354.54763963014
"304",2,4,1,"flip",-4097.48520409017
"305",2,5,2,"construct",-3763.43455168667
"306",2,5,2,"combine",-7790.28111843096
"307",2,5,2,"decon",-4827.6186342845
"308",2,5,2,"flip",-4024.72880193427
"309",2,5,1,"construct",-3722.15987895073
"310",2,5,1,"combine",-8025.94411347721
"311",2,5,1,"decon",-4297.39512224934
"312",2,5,1,"flip",-3990.70905611292
"313",2,6,2,"construct",-3591.70929876413
"314",2,6,2,"combine",-7792.22745134381
"315",2,6,2,"decon",-4623.51218710365
"316",2,6,2,"flip",-3984.21660868376
"317",2,6,1,"construct",-3701.68072005049
"318",2,6,1,"combine",-8168.20509489223
"319",2,6,1,"decon",-4340.99989754701
"320",2,6,1,"flip",-3829.23186071936
"321",2,7,2,"construct",-3958.05336976293
"322",2,7,2,"combine",-8710.62788848522
"323",2,7,2,"decon",-4992.59513171263
"324",2,7,2,"flip",-4280.98577969435
"325",2,7,1,"construct",-3767.40629994749
"326",2,7,1,"combine",-8011.98503706103
"327",2,7,1,"decon",-4326.62755024753
"328",2,7,1,"flip",-3992.77552705243
"329",2,8,2,"construct",-3923.04399784689
"330",2,8,2,"combine",-7684.79563260641
"331",2,8,2,"decon",-4552.67612064403
"332",2,8,2,"flip",-3910.51374785294
"333",2,8,1,"construct",-3819.92748693595
"334",2,8,1,"combine",-7918.39140823876
"335",2,8,1,"decon",-4315.05660431596
"336",2,8,1,"flip",-4083.69409351762
"337",2,9,2,"construct",-3823.94042829136
"338",2,9,2,"combine",-8063.62562959547
"339",2,9,2,"decon",-4615.52915754246
"340",2,9,2,"flip",-4046.06669077377
"341",2,9,1,"construct",-3865.94080383729
"342",2,9,1,"combine",-8107.43323988518
"343",2,9,1,"decon",-4386.21296562263
"344",2,9,1,"flip",-3852.71539891861
"345",2,10,2,"construct",-3801.77616008622
"346",2,10,2,"combine",-8009.02895574624
"347",2,10,2,"decon",-4750.82289379303
"348",2,10,2,"flip",-4080.57176734616
"349",2,10,1,"construct",-3789.2918377338
"350",2,10,1,"combine",-8073.00054054944
"351",2,10,1,"decon",-4349.63162240614
"352",2,10,1,"flip",-3975.14348711497
"353",2,16,2,"construct",-3810.9437116241
"354",2,16,2,"combine",-8222.14470852204
"355",2,16,2,"decon",-4951.72053586577
"356",2,16,2,"flip",-4170.78809464026
"357",2,16,1,"construct",-3707.24577097167
"358",2,16,1,"combine",-7953.35017811736
"359",2,16,1,"decon",-4321.63988929155
"360",2,16,1,"flip",-3972.26180200888
"361",2,32,2,"construct",-3902.38178097752
"362",2,32,2,"combine",-8064.18151694966
"363",2,32,2,"decon",-4830.28229261782
"364",2,32,2,"flip",-4146.70792582482
"365",2,32,1,"construct",-3751.14717189863
"366",2,32,1,"combine",-8216.34101511264
"367",2,32,1,"decon",-4370.70046219627
"368",2,32,1,"flip",-4110.45769970425
"369",2,64,2,"construct",-3788.11596868214
"370",2,64,2,"combine",-7987.38317126626
"371",2,64,2,"decon",-4945.33686093053
"372",2,64,2,"flip",-4031.10325902378
"373",2,64,1,"construct",-3815.76002782281
"374",2,64,1,"combine",-8260.92220107973
"375",2,64,1,"decon",-4374.55113080023
"376",2,64,1,"flip",-4110.03697336588
"377",2,128,2,"construct",-3740.29614270941
"378",2,128,2,"combine",-7879.76221054037
"379",2,128,2,"decon",-4798.93000858503
"380",2,128,2,"flip",-4026.5331743338
"381",2,128,1,"construct",-3837.37661362622
"382",2,128,1,"combine",-8262.1584715238
"383",2,128,1,"decon",-4390.76010922897
"384",2,128,1,"flip",-4149.52354565322
"385",2,256,2,"construct",-3762.31574151882
"386",2,256,2,"combine",-7845.14498095637
"387",2,256,2,"decon",-4747.04199949329
"388",2,256,2,"flip",-4016.83552982649
"389",2,256,1,"construct",-3835.60386876012
"390",2,256,1,"combine",-8282.49722268128
"391",2,256,1,"decon",-4393.86338770964
"392",2,256,1,"flip",-4159.33858385542
"393",2,512,2,"construct",-3824.46671846418
"394",2,512,2,"combine",-7924.52585722086
"395",2,512,2,"decon",-4976.18977648193
"396",2,512,2,"flip",-4049.59309996345
"397",2,512,1,"construct",-3836.88398908501
"398",2,512,1,"combine",-8278.57988719004
"399",2,512,1,"decon",-4394.03560793824
"400",2,512,1,"flip",-4160.85907768112
"401",2,1024,2,"construct",-3828.55325995753
"402",2,1024,2,"combine",-8209.56271623325
"403",2,1024,2,"decon",-4963.70543587365
"404",2,1024,2,"flip",-4161.14937545219
"405",2,1024,1,"construct",-3838.64025617537
"406",2,1024,1,"combine",-8286.68563810664
"407",2,1024,1,"decon",-4395.20519341081
"408",2,1024,1,"flip",-4156.7839337711
"409",3,1,2,"construct",-4223.60455069599
"410",3,1,2,"combine",-8870.07066251286
"411",3,1,2,"decon",-4525.7756725312
"412",3,1,2,"flip",-4571.87117581167
"413",3,1,1,"construct",-3711.01910396135
"414",3,1,1,"combine",-7522.98906634116
"415",3,1,1,"decon",-4349.50025436822
"416",3,1,1,"flip",-4127.43574456997
"417",3,2,2,"construct",-3639.81611527238
"418",3,2,2,"combine",-8295.53765096251
"419",3,2,2,"decon",-4488.15746034178
"420",3,2,2,"flip",-4120.57472906202
"421",3,2,1,"construct",-3733.2773297524
"422",3,2,1,"combine",-7713.53202265346
"423",3,2,1,"decon",-4305.59176245484
"424",3,2,1,"flip",-4042.80245501122
"425",3,3,2,"construct",-3820.37017270075
"426",3,3,2,"combine",-8158.53752663871
"427",3,3,2,"decon",-4636.46989829118
"428",3,3,2,"flip",-4181.72976068044
"429",3,3,1,"construct",-3710.03070661626
"430",3,3,1,"combine",-7452.53329368093
"431",3,3,1,"decon",-4308.17233114644
"432",3,3,1,"flip",-3835.55897481531
"433",3,4,2,"construct",-3751.23584456559
"434",3,4,2,"combine",-8292.67234286364
"435",3,4,2,"decon",-4471.30112438368
"436",3,4,2,"flip",-4241.99542407702
"437",3,4,1,"construct",-3732.6503361832
"438",3,4,1,"combine",-8185.83587674279
"439",3,4,1,"decon",-4338.93344530881
"440",3,4,1,"flip",-4095.9593366425
"441",3,5,2,"construct",-3717.49987433383
"442",3,5,2,"combine",-7935.94692252184
"443",3,5,2,"decon",-5042.25823049699
