"","run","iter","depth","condition","cfit"
"238",1,64,1,"combine",-8352.37427615617
"239",1,64,1,"decon",-4508.64807170849
"240",1,64,1,"flip",-4423.87095061491
"241",1,128,2,"construct",-3856.5653587645
"242",1,128,2,"combine",-7825.49491864386
"243",1,128,2,"decon",-4868.78961615319
"244",1,128,2,"flip",-4110.09205053065
"245",1,128,1,"construct",-3954.06490647756
"246",1,128,1,"combine",-8439.6330739253
"247",1,128,1,"decon",-4525.84568081341
"248",1,128,1,"flip",-4466.96304200041
"249",1,256,2,"construct",-3802.65830638038
"250",1,256,2,"combine",-7931.21397989133
"251",1,256,2,"decon",-4980.97283951257
"252",1,256,2,"flip",-4205.60118589959
"253",1,256,1,"construct",-3955.76227071962
"254",1,256,1,"combine",-8479.98530223986
"255",1,256,1,"decon",-4530.97223539527
"256",1,256,1,"flip",-4468.10312153782
"257",1,512,2,"construct",-3823.1829552894
"258",1,512,2,"combine",-7748.74108347168
"259",1,512,2,"decon",-4937.17135388272
"260",1,512,2,"flip",-4197.85898371341
"261",1,512,1,"construct",-3958.16030151418
"262",1,512,1,"combine",-8503.05847150601
"263",1,512,1,"decon",-4533.2032471463
"264",1,512,1,"flip",-4463.37232407654
"265",1,1024,2,"construct",-3827.54328436168
"266",1,1024,2,"combine",-7889.04021188581
"267",1,1024,2,"decon",-4987.96198442449
"268",1,1024,2,"flip",-4233.38199384099
"269",1,1024,1,"construct",-3958.71333051476
"270",1,1024,1,"combine",-8507.06681721099
"271",1,1024,1,"decon",-4535.236899075
"272",1,1024,1,"flip",-4468.82312492553
"273",2,1,2,"construct",-4103.90712757486
"274",2,1,2,"combine",-9899.30295884509
"275",2,1,2,"decon",-4565.16064522896
"276",2,1,2,"flip",-5006.32582323283
"277",2,1,1,"construct",-4259.93625270517
"278",2,1,1,"combine",-8401.05612691239
"279",2,1,1,"decon",-4477.56052520726
"280",2,1,1,"flip",-4614.96921328818
"281",2,2,2,"construct",-3682.54677779295
"282",2,2,2,"combine",-8446.9857120164
"283",2,2,2,"decon",-4318.32868290178
"284",2,2,2,"flip",-4165.35642257966
"285",2,2,1,"construct",-3742.60796140985
"286",2,2,1,"combine",-8032.65794114032
"287",2,2,1,"decon",-4463.56179310704
"288",2,2,1,"flip",-4327.98523874214
"289",2,3,2,"construct",-3698.47651302349
"290",2,3,2,"combine",-8204.54287486708
"291",2,3,2,"decon",-4622.58581451711
"292",2,3,2,"flip",-4126.54719531454
"293",2,3,1,"construct",-3899.91904861724
"294",2,3,1,"combine",-8113.00694300508
"295",2,3,1,"decon",-4467.39807914291
"296",2,3,1,"flip",-4329.21811173481
"297",2,4,2,"construct",-3738.12869214744
"298",2,4,2,"combine",-8201.0578359522
"299",2,4,2,"decon",-4267.4602504968
"300",2,4,2,"flip",-4334.50073551176
"301",2,4,1,"construct",-3808.95614992333
"302",2,4,1,"combine",-8133.37540729763
"303",2,4,1,"decon",-4470.39406844656
"304",2,4,1,"flip",-4456.67969053039
"305",2,5,2,"construct",-3817.65553629436
"306",2,5,2,"combine",-7825.10930760377
"307",2,5,2,"decon",-4719.04584704985
"308",2,5,2,"flip",-4079.60955933739
"309",2,5,1,"construct",-3717.63081601333
"310",2,5,1,"combine",-8263.35987293097
"311",2,5,1,"decon",-4467.67874476896
"312",2,5,1,"flip",-4284.45516907395
"313",2,6,2,"construct",-3572.2033830208
"314",2,6,2,"combine",-7950.79538566452
"315",2,6,2,"decon",-4668.95378638981
"316",2,6,2,"flip",-3917.2329241713
"317",2,6,1,"construct",-3714.74617849285
"318",2,6,1,"combine",-8630.30074090241
"319",2,6,1,"decon",-4472.73334809428
"320",2,6,1,"flip",-4085.81833778406
"321",2,7,2,"construct",-3979.96857346444
"322",2,7,2,"combine",-8534.72012424492
"323",2,7,2,"decon",-4909.03679311076
"324",2,7,2,"flip",-4321.60127026366
"325",2,7,1,"construct",-3854.51279723528
"326",2,7,1,"combine",-8222.58319481046
"327",2,7,1,"decon",-4475.71735673189
"328",2,7,1,"flip",-4352.70610788898
"329",2,8,2,"construct",-3997.61598528263
"330",2,8,2,"combine",-8030.81101499256
"331",2,8,2,"decon",-4419.40611427611
"332",2,8,2,"flip",-4195.60607223399
"333",2,8,1,"construct",-3805.86993531245
"334",2,8,1,"combine",-8152.59293937149
"335",2,8,1,"decon",-4474.49205534618
"336",2,8,1,"flip",-4441.6227869888
"337",2,9,2,"construct",-3829.18796504252
"338",2,9,2,"combine",-8106.6535507477
"339",2,9,2,"decon",-4656.75938704156
"340",2,9,2,"flip",-4381.78149904929
"341",2,9,1,"construct",-3933.71163228017
"342",2,9,1,"combine",-8464.26639318255
"343",2,9,1,"decon",-4475.98767638039
"344",2,9,1,"flip",-4097.21545320654
"345",2,10,2,"construct",-3815.82130432491
"346",2,10,2,"combine",-8297.80196240258
"347",2,10,2,"decon",-4702.02207159184
"348",2,10,2,"flip",-4421.20630726454
"349",2,10,1,"construct",-3849.82905195226
"350",2,10,1,"combine",-8437.32480312566
"351",2,10,1,"decon",-4486.46611950095
"352",2,10,1,"flip",-4269.48765942434
"353",2,16,2,"construct",-3786.85320414108
"354",2,16,2,"combine",-8016.79106735391
"355",2,16,2,"decon",-4938.96336540927
"356",2,16,2,"flip",-4525.56842781856
"357",2,16,1,"construct",-3845.60103913658
"358",2,16,1,"combine",-8469.05131937979
"359",2,16,1,"decon",-4496.80205536815
