condition,phase,trial,prediction,n,raw_ag,fitted_ag,raw_agr,fitted_agr,raw_rr,fitted_rr,raw_sim,fitted_sim,raw_gp,fitted_gp,raw_mm,fitted_mm,raw_lm,fitted_lm,rand
decon,A,7,5,7,0,0.036858303639486646,0,0.031877640580112956,0,0.032397547394098065,0,0.03793883012776904,0.003996292296212152,0.03652175385775275,0,0.049890294046485824,0,0.05219150311439334,0.058823529411764705
decon,A,7,6,4,0,0.036858303639486646,0,0.031877640580112956,6.439490731031559e-4,0.032686836166742055,0,0.03793883012776904,3.577554363435659e-4,0.035041726107626146,0,0.049890294046485824,0,0.05219150311439334,0.058823529411764705
decon,A,7,7,11,0,0.036858303639486646,0,0.031877640580112956,0,0.032397547394098065,0,0.03793883012776904,1.9021171307738773e-5,0.034903941022170155,0,0.049890294046485824,0,0.05219150311439334,0.058823529411764705
decon,A,7,8,1,0,0.036858303639486646,0,0.031877640580112956,0,0.032397547394098065,0,0.03793883012776904,6.006345231765201e-7,0.03489644820110956,0,0.049890294046485824,0,0.05219150311439334,0.058823529411764705
decon,A,7,9,1,3e-4,0.03697032629092526,3e-4,0.03201506461315438,0.21850020861362604,0.13055695131665962,0,0.03793883012776904,1.126432944846618e-8,0.034896208466217375,0,0.049890294046485824,0,0.05219150311439334,0.058823529411764705
decon,A,7,10,1,0,0.036858303639486646,0,0.031877640580112956,0,0.032397547394098065,0,0.03793883012776904,1.2546494937336067e-10,0.03489620393532235,0,0.049890294046485824,0,0.05219150311439334,0.058823529411764705
decon,A,7,11,0,0,0.036858303639486646,0,0.031877640580112956,0,0.032397547394098065,0,0.03793883012776904,8.299683026404816e-13,0.03489620388462526,0,0.049890294046485824,0,0.05219150311439334,0.058823529411764705
decon,A,7,12,0,1e-4,0.03689564452329952,1e-4,0.031923448591126766,0.12363822203580589,0.08794099174174426,0,0.03793883012776904,3.2607883921562556e-15,0.03489620388428898,0,0.049890294046485824,0,0.05219150311439334,0.058823529411764705
decon,A,7,13,1,0,0.036858303639486646,0,0.031877640580112956,0,0.032397547394098065,0,0.03793883012776904,7.608617381413358e-18,0.03489620388428766,0,0.049890294046485824,0,0.05219150311439334,0.058823529411764705
decon,A,7,14,0,0,0.036858303639486646,0,0.031877640580112956,0,0.032397547394098065,0,0.03793883012776904,1.0544133422882548e-20,0.03489620388428766,0,0.049890294046485824,0,0.05219150311439334,0.058823529411764705
decon,A,7,15,0,0,0.036858303639486646,0,0.031877640580112956,1.46251927129081e-15,0.032397547394098725,0,0.03793883012776904,8.678367945051329e-24,0.03489620388428766,0,0.049890294046485824,0,0.05219150311439334,0.058823529411764705
decon,A,7,16,1,0,0.036858303639486646,0,0.031877640580112956,0,0.032397547394098065,0,0.03793883012776904,4.2421619570851194e-27,0.03489620388428766,0,0.049890294046485824,0,0.05219150311439334,0.058823529411764705
decon,A,8,0,11,4e-4,0.037007667174738135,4e-4,0.03206087262416819,0.3308641228826859,0.18103550654110942,0.4303583805781359,0.19073322129403847,0.3934824279809341,0.19495090032619913,0,0.049890294046485824,0,0.05219150311439334,0.058823529411764705
decon,A,8,1,2,0,0.036858303639486646,0,0.031877640580112956,0,0.032397547394098065,0,0.03793883012776904,0.33796562021512694,0.17236863188799897,1,0.20175529525622682,0,0.05219150311439334,0.058823529411764705
decon,A,8,2,7,0,0.036858303639486646,0,0.031877640580112956,0,0.032397547394098065,0.5696416194218641,0.24018432678942597,0.1859184823040101,0.11052124869455067,0,0.049890294046485824,0,0.05219150311439334,0.058823529411764705
decon,A,8,3,6,0.0092,0.04029366495027094,0.0092,0.03609197759338329,0,0.032397547394098065,0,0.03793883012776904,0.06550515341501673,0.061541377085590966,0,0.049890294046485824,0.6699999999999999,0.12773028264145314,0.058823529411764705
decon,A,8,4,64,0.9902,0.4066077351545522,0.9902,0.48546856563883944,0,0.032397547394098065,0,0.03793883012776904,0.014781933069198484,0.04090897000031319,0,0.049890294046485824,0.33000000000000007,0.0893971706426467,0.058823529411764705
decon,A,8,5,9,0,0.036858303639486646,0,0.031877640580112956,0,0.032397547394098065,0,0.03793883012776904,0.0021364358438540976,0.0357652302146636,0,0.049890294046485824,0,0.05219150311439334,0.058823529411764705
decon,A,8,6,5,0,0.036858303639486646,0,0.031877640580112956,0,0.032397547394098065,0,0.03793883012776904,1.977658684099443e-4,0.03497664802558603,0,0.049890294046485824,0,0.05219150311439334,0.058823529411764705
decon,A,8,7,1,0,0.036858303639486646,0,0.031877640580112956,0,0.032397547394098065,0,0.03793883012776904,1.1725076538699232e-5,0.03490097322958165,0,0.049890294046485824,0,0.05219150311439334,0.058823529411764705
decon,A,8,8,8,0,0.036858303639486646,0,0.031877640580112956,0,0.032397547394098065,0,0.03793883012776904,4.452284346271441e-7,0.03489638498742438,0,0.049890294046485824,0,0.05219150311439334,0.058823529411764705
decon,A,8,9,2,0,0.036858303639486646,0,0.031877640580112956,0,0.032397547394098065,0,0.03793883012776904,1.0828117508316221e-8,0.03489620828878183,0,0.049890294046485824,0,0.05219150311439334,0.058823529411764705
decon,A,8,10,0,0,0.036858303639486646,0,0.031877640580112956,0,0.032397547394098065,0,0.03793883012776904,1.6866535634489012e-10,0.03489620395289474,0,0.049890294046485824,0,0.05219150311439334,0.058823529411764705
decon,A,8,11,0,0,0.036858303639486646,0,0.031877640580112956,0,0.032397547394098065,0,0.03793883012776904,1.682680558713972e-12,0.03489620388497211,0,0.049890294046485824,0,0.05219150311439334,0.058823529411764705
decon,A,8,12,2,0,0.036858303639486646,0,0.031877640580112956,0.6691358072443678,0.33300125115757884,0,0.03793883012776904,1.0751778941315566e-14,0.03489620388429203,0,0.049890294046485824,0,0.05219150311439334,0.058823529411764705
decon,A,8,13,0,0,0.036858303639486646,0,0.031877640580112956,0,0.032397547394098065,0,0.03793883012776904,4.400092809506137e-17,0.03489620388428768,0,0.049890294046485824,0,0.05219150311439334,0.058823529411764705
decon,A,8,14,0,0,0.036858303639486646,0,0.031877640580112956,0,0.032397547394098065,0,0.03793883012776904,1.153310399558532e-19,0.03489620388428766,0,0.049890294046485824,0,0.05219150311439334,0.058823529411764705
decon,A,8,15,0,0,0.036858303639486646,0,0.031877640580112956,0,0.032397547394098065,0,0.03793883012776904,1.9361252107939106e-22,0.03489620388428766,0,0.049890294046485824,0,0.05219150311439334,0.058823529411764705
decon,A,8,16,0,2e-4,0.036932985407112394,2e-4,0.031969256602140575,6.987294630025564e-8,0.03239757878393885,0,0.03793883012776904,2.0817258385987935e-25,0.03489620388428766,0,0.049890294046485824,0,0.05219150311439334,0.058823529411764705
decon,B,1,0,41,0.063,0.06038306044159645,0.46000672508753493,0.24259757187246833,0.9999457494710574,0.48161487009489207,0.05801114896578814,0.05853510194935159,0.010341133048257763,0.0391026100493541,3.219868327442004e-7,0.04989034294501657,0,0.05219150311439334,0.058823529411764705
decon,B,1,1,4,0,0.036858303639486646,0,0.031877640580112956,0,0.032397547394098065,0,0.03793883012776904,0.2232778689144179,0.12571772217843027,0,0.049890294046485824,0,0.05219150311439334,0.058823529411764705
decon,B,1,2,4,0,0.036858303639486646,0,0.031877640580112956,0,0.032397547394098065,0.04722180341371726,0.054704453914807605,0.579137520989387,0.2704688077124029,1.9835587750438993e-33,0.049890294046485824,0,0.05219150311439334,0.058823529411764705
decon,B,1,3,65,0.937,0.3867423849661039,0.5399932749124652,0.27923781942583736,5.4250528942657026e-5,0.03242191899363695,0.7332197778973896,0.29826109782567534,0.18045802461584937,0.10830012816777884,0.6316064078239723,0.14580920193475355,0.6699999999999999,0.12773028264145314,0.058823529411764705
decon,B,1,4,2,0,0.036858303639486646,0,0.031877640580112956,0,0.032397547394098065,0.16154726972310499,0.095294554649168,0.0067550593199024525,0.03764392244046796,0.3683932701891949,0.10583633846942835,0.33000000000000007,0.0893971706426467,0.058823529411764705
decon,B,1,5,0,0,0.036858303639486646,0,0.031877640580112956,0,0.032397547394098065,0,0.03793883012776904,3.0376701047300457e-5,0.03490856004893262,0,0.049890294046485824,0,0.05219150311439334,0.058823529411764705
decon,B,1,6,1,0,0.036858303639486646,0,0.031877640580112956,0,0.032397547394098065,0,0.03793883012776904,1.6410073221296697e-8,0.034896210559323446,0,0.049890294046485824,0,0.05219150311439334,0.058823529411764705
decon,B,1,7,0,0,0.036858303639486646,0,0.031877640580112956,0,0.032397547394098065,0,0.03793883012776904,1.0649737482278701e-12,0.03489620388472085,0,0.049890294046485824,0,0.05219150311439334,0.058823529411764705
decon,B,1,8,0,0,0.036858303639486646,0,0.031877640580112956,0,0.032397547394098065,0,0.03793883012776904,8.302822583536023e-18,0.03489620388428766,0,0.049890294046485824,0,0.05219150311439334,0.058823529411764705
decon,B,1,9,0,0,0.036858303639486646,0,0.031877640580112956,0,0.032397547394098065,0,0.03793883012776904,7.776265593172461e-24,0.03489620388428766,0,0.049890294046485824,0,0.05219150311439334,0.058823529411764705
decon,B,1,10,0,0,0.036858303639486646,0,0.031877640580112956,0,0.032397547394098065,0,0.03793883012776904,8.749331755339157e-31,0.03489620388428766,0,0.049890294046485824,0,0.05219150311439334,0.058823529411764705
decon,B,1,11,0,0,0.036858303639486646,0,0.031877640580112956,0,0.032397547394098065,0,0.03793883012776904,1.1825980411152703e-38,0.03489620388428766,0,0.049890294046485824,0,0.05219150311439334,0.058823529411764705
decon,B,1,12,0,0,0.036858303639486646,0,0.031877640580112956,0,0.032397547394098065,0,0.03793883012776904,1.9202505495874085e-47,0.03489620388428766,0,0.049890294046485824,0,0.05219150311439334,0.058823529411764705
decon,B,1,13,0,0,0.036858303639486646,0,0.031877640580112956,0,0.032397547394098065,0,0.03793883012776904,3.745735549165855e-57,0.03489620388428766,0,0.049890294046485824,0,0.05219150311439334,0.058823529411764705
