,terms
589,"[KK,[[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S3,Square,S3,Plain,S3)]"
590,"[KK,[[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S3,Triangle,S1,Dotted,S1)]"
591,"[KK,[[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S3,Triangle,S1,Dotted,S3)]"
592,"[KK,[[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S3,Triangle,S1,Plain,S1)]"
593,"[KK,[[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S3,Triangle,S1,Plain,S3)]"
594,"[KK,[[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S3,Triangle,S3,Dotted,S1)]"
595,"[KK,[[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S3,Triangle,S3,Dotted,S3)]"
596,"[KK,[[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S3,Triangle,S3,Plain,S1)]"
597,"[KK,[[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S3,Triangle,S3,Plain,S3)]"
598,"[KK,[[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S1,Square,S1,Dotted,S1)]"
599,"[KK,[[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S1,Square,S1,Dotted,S3)]"
600,"[KK,[[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S1,Square,S1,Plain,S1)]"
601,"[KK,[[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S1,Square,S1,Plain,S3)]"
602,"[KK,[[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S1,Square,S3,Dotted,S1)]"
603,"[KK,[[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S1,Square,S3,Dotted,S3)]"
604,"[KK,[[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S1,Square,S3,Plain,S1)]"
605,"[KK,[[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S1,Square,S3,Plain,S3)]"
606,"[KK,[[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S1,Triangle,S1,Dotted,S1)]"
607,"[KK,[[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S1,Triangle,S1,Dotted,S3)]"
608,"[KK,[[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S1,Triangle,S1,Plain,S1)]"
609,"[KK,[[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S1,Triangle,S1,Plain,S3)]"
610,"[KK,[[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S1,Triangle,S3,Dotted,S1)]"
611,"[KK,[[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S1,Triangle,S3,Dotted,S3)]"
612,"[KK,[[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S1,Triangle,S3,Plain,S1)]"
613,"[KK,[[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S1,Triangle,S3,Plain,S3)]"
614,"[KK,[[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S3,Square,S1,Dotted,S1)]"
615,"[KK,[[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S3,Square,S1,Dotted,S3)]"
616,"[KK,[[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S3,Square,S1,Plain,S1)]"
617,"[KK,[[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S3,Square,S1,Plain,S3)]"
618,"[KK,[[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S3,Square,S3,Dotted,S1)]"
619,"[KK,[[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S3,Square,S3,Dotted,S3)]"
620,"[KK,[[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S3,Square,S3,Plain,S1)]"
621,"[KK,[[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S3,Square,S3,Plain,S3)]"
622,"[KK,[[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S3,Triangle,S1,Dotted,S1)]"
623,"[KK,[[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S3,Triangle,S1,Dotted,S3)]"
624,"[KK,[[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S3,Triangle,S1,Plain,S1)]"
625,"[KK,[[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S3,Triangle,S1,Plain,S3)]"
626,"[KK,[[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S3,Triangle,S3,Dotted,S1)]"
627,"[KK,[[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S3,Triangle,S3,Dotted,S3)]"
628,"[KK,[[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S3,Triangle,S3,Plain,S1)]"
629,"[KK,[[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Yellow,S3,Triangle,S3,Plain,S3)]"
630,"[KK,[[ifElse,False],Stone(Red,S1,Square,S1,Dotted,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
631,"[KK,[[ifElse,False],Stone(Red,S1,Square,S1,Dotted,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
632,"[KK,[[ifElse,False],Stone(Red,S1,Square,S1,Plain,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
633,"[KK,[[ifElse,False],Stone(Red,S1,Square,S1,Plain,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
634,"[KK,[[ifElse,False],Stone(Red,S1,Square,S3,Dotted,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
635,"[KK,[[ifElse,False],Stone(Red,S1,Square,S3,Dotted,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
636,"[KK,[[ifElse,False],Stone(Red,S1,Square,S3,Plain,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
637,"[KK,[[ifElse,False],Stone(Red,S1,Square,S3,Plain,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
638,"[KK,[[ifElse,False],Stone(Red,S1,Triangle,S1,Dotted,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
639,"[KK,[[ifElse,False],Stone(Red,S1,Triangle,S1,Dotted,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
640,"[KK,[[ifElse,False],Stone(Red,S1,Triangle,S1,Plain,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
641,"[KK,[[ifElse,False],Stone(Red,S1,Triangle,S1,Plain,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
642,"[KK,[[ifElse,False],Stone(Red,S1,Triangle,S3,Dotted,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
643,"[KK,[[ifElse,False],Stone(Red,S1,Triangle,S3,Dotted,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
644,"[KK,[[ifElse,False],Stone(Red,S1,Triangle,S3,Plain,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
645,"[KK,[[ifElse,False],Stone(Red,S1,Triangle,S3,Plain,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
646,"[KK,[[ifElse,False],Stone(Red,S3,Square,S1,Dotted,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
647,"[KK,[[ifElse,False],Stone(Red,S3,Square,S1,Dotted,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
648,"[KK,[[ifElse,False],Stone(Red,S3,Square,S1,Plain,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
649,"[KK,[[ifElse,False],Stone(Red,S3,Square,S1,Plain,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
650,"[KK,[[ifElse,False],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
651,"[KK,[[ifElse,False],Stone(Red,S3,Square,S3,Dotted,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
652,"[KK,[[ifElse,False],Stone(Red,S3,Square,S3,Plain,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
653,"[KK,[[ifElse,False],Stone(Red,S3,Square,S3,Plain,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
654,"[KK,[[ifElse,False],Stone(Red,S3,Triangle,S1,Dotted,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
655,"[KK,[[ifElse,False],Stone(Red,S3,Triangle,S1,Dotted,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
656,"[KK,[[ifElse,False],Stone(Red,S3,Triangle,S1,Plain,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
657,"[KK,[[ifElse,False],Stone(Red,S3,Triangle,S1,Plain,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
658,"[KK,[[ifElse,False],Stone(Red,S3,Triangle,S3,Dotted,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
659,"[KK,[[ifElse,False],Stone(Red,S3,Triangle,S3,Dotted,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
660,"[KK,[[ifElse,False],Stone(Red,S3,Triangle,S3,Plain,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
661,"[KK,[[ifElse,False],Stone(Red,S3,Triangle,S3,Plain,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
662,"[KK,[[ifElse,False],Stone(Yellow,S1,Square,S1,Dotted,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
663,"[KK,[[ifElse,False],Stone(Yellow,S1,Square,S1,Dotted,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
664,"[KK,[[ifElse,False],Stone(Yellow,S1,Square,S1,Plain,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
665,"[KK,[[ifElse,False],Stone(Yellow,S1,Square,S1,Plain,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
666,"[KK,[[ifElse,False],Stone(Yellow,S1,Square,S3,Dotted,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
667,"[KK,[[ifElse,False],Stone(Yellow,S1,Square,S3,Dotted,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
668,"[KK,[[ifElse,False],Stone(Yellow,S1,Square,S3,Plain,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
669,"[KK,[[ifElse,False],Stone(Yellow,S1,Square,S3,Plain,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
670,"[KK,[[ifElse,False],Stone(Yellow,S1,Triangle,S1,Dotted,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
671,"[KK,[[ifElse,False],Stone(Yellow,S1,Triangle,S1,Dotted,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
672,"[KK,[[ifElse,False],Stone(Yellow,S1,Triangle,S1,Plain,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
673,"[KK,[[ifElse,False],Stone(Yellow,S1,Triangle,S1,Plain,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
674,"[KK,[[ifElse,False],Stone(Yellow,S1,Triangle,S3,Dotted,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
675,"[KK,[[ifElse,False],Stone(Yellow,S1,Triangle,S3,Dotted,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
676,"[KK,[[ifElse,False],Stone(Yellow,S1,Triangle,S3,Plain,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
677,"[KK,[[ifElse,False],Stone(Yellow,S1,Triangle,S3,Plain,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
678,"[KK,[[ifElse,False],Stone(Yellow,S3,Square,S1,Dotted,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
679,"[KK,[[ifElse,False],Stone(Yellow,S3,Square,S1,Dotted,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
680,"[KK,[[ifElse,False],Stone(Yellow,S3,Square,S1,Plain,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
681,"[KK,[[ifElse,False],Stone(Yellow,S3,Square,S1,Plain,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
682,"[KK,[[ifElse,False],Stone(Yellow,S3,Square,S3,Dotted,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
683,"[KK,[[ifElse,False],Stone(Yellow,S3,Square,S3,Dotted,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
684,"[KK,[[ifElse,False],Stone(Yellow,S3,Square,S3,Plain,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
685,"[KK,[[ifElse,False],Stone(Yellow,S3,Square,S3,Plain,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
686,"[KK,[[ifElse,False],Stone(Yellow,S3,Triangle,S1,Dotted,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
687,"[KK,[[ifElse,False],Stone(Yellow,S3,Triangle,S1,Dotted,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
688,"[KK,[[ifElse,False],Stone(Yellow,S3,Triangle,S1,Plain,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
689,"[KK,[[ifElse,False],Stone(Yellow,S3,Triangle,S1,Plain,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
690,"[KK,[[ifElse,False],Stone(Yellow,S3,Triangle,S3,Dotted,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
691,"[KK,[[ifElse,False],Stone(Yellow,S3,Triangle,S3,Dotted,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
692,"[KK,[[ifElse,False],Stone(Yellow,S3,Triangle,S3,Plain,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
693,"[KK,[[ifElse,False],Stone(Yellow,S3,Triangle,S3,Plain,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
