,terms
155,"[CC,[CC,[B,ifElse,eqObject],Stone(Yellow,S3,Square,S3,Dotted,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
156,"[CC,[CC,[B,ifElse,eqObject],Stone(Yellow,S3,Square,S3,Plain,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
157,"[CC,[CC,[B,ifElse,eqObject],Stone(Yellow,S3,Square,S3,Plain,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
158,"[CC,[CC,[B,ifElse,eqObject],Stone(Yellow,S3,Triangle,S1,Dotted,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
159,"[CC,[CC,[B,ifElse,eqObject],Stone(Yellow,S3,Triangle,S1,Dotted,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
160,"[CC,[CC,[B,ifElse,eqObject],Stone(Yellow,S3,Triangle,S1,Plain,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
161,"[CC,[CC,[B,ifElse,eqObject],Stone(Yellow,S3,Triangle,S1,Plain,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
162,"[CC,[CC,[B,ifElse,eqObject],Stone(Yellow,S3,Triangle,S3,Dotted,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
163,"[CC,[CC,[B,ifElse,eqObject],Stone(Yellow,S3,Triangle,S3,Dotted,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
164,"[CC,[CC,[B,ifElse,eqObject],Stone(Yellow,S3,Triangle,S3,Plain,S1)],Stone(Red,S3,Square,S3,Dotted,S1)]"
165,"[CC,[CC,[B,ifElse,eqObject],Stone(Yellow,S3,Triangle,S3,Plain,S3)],Stone(Red,S3,Square,S3,Dotted,S1)]"
166,"[CC,[CS,[B,ifElse,eqObject],I],Stone(Red,S3,Square,S3,Dotted,S1)]"
167,"[CC,[CS,[B,ifElse,eqObject],I],Stone(Red,S3,Square,S3,Dotted,S1)]"
168,"[CC,[BK,[ifElse,False],I],Stone(Red,S3,Square,S3,Dotted,S1)]"
169,"[CC,[SC,[B,ifElse,eqObject],I],Stone(Red,S3,Square,S3,Dotted,S1)]"
170,"[CC,[SC,[B,ifElse,eqObject],I],Stone(Red,S3,Square,S3,Dotted,S1)]"
171,"[CC,[KB,[ifElse,False],I],Stone(Red,S3,Square,S3,Dotted,S1)]"
172,"[CC,[KK,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S1,Square,S1,Dotted,S1)]"
173,"[CC,[KK,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S1,Square,S1,Dotted,S3)]"
174,"[CC,[KK,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S1,Square,S1,Plain,S1)]"
175,"[CC,[KK,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S1,Square,S1,Plain,S3)]"
176,"[CC,[KK,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S1,Square,S3,Dotted,S1)]"
177,"[CC,[KK,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S1,Square,S3,Dotted,S3)]"
178,"[CC,[KK,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S1,Square,S3,Plain,S1)]"
179,"[CC,[KK,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S1,Square,S3,Plain,S3)]"
180,"[CC,[KK,[ifElse,True],Stone(Red,S3,Square,S3,Dotted,S1)],Stone(Red,S1,Triangle,S1,Dotted,S1)]"
